
###### NEW YORK #####
+-------------------------------------------------------+------------+------------------+------------------+
|antecedent                                             |consequent  |confidence        |lift              |
|[vr_WHITE, ss_U, sr_UNKNOWN, sa_UNKNOWN]                     |729089 |
|[vr_WHITE, ss_U, sa_UNKNOWN]                                 |739022 |
|[vr_WHITE, sa_UNKNOWN]                                       |966368 |
|[BRONX]                                                      |1050535|
|[BRONX, vs_F]                                                |604451 |
|[BRONX, sr_UNKNOWN]                                          |550133 |
|[BRONX, sr_UNKNOWN, sa_UNKNOWN]                              |530126 |
|[BRONX, sa_UNKNOWN]                                          |724341 |
|[sr_UNKNOWN]                                                 |2794634|
|[sr_UNKNOWN, sa_UNKNOWN]                                     |2724068|
|[ STREET]                                                    |655731 |
|[ STREET, sa_UNKNOWN]                                        |550459 |
|[ss_M]                                                       |1783100|
|[ss_M, vs_F]                                                 |1061000|
|[ss_M, va_25-44]                                             |813274 |
|[ss_M, va_25-44, vs_F]                                       |526826 |
|[ss_M, vs_M]                                                 |722068 |
|[ss_M, sa_UNKNOWN]                                           |787576 |
|[FRONT OF STREET]                                            |730262 |
|[FRONT OF STREET, sa_UNKNOWN]                                |614351 |
|[vs_F]                                                       |2720200|
|[vs_F, sr_UNKNOWN]                                           |1366687|
|[vs_F, sr_UNKNOWN, sa_UNKNOWN]                               |1317497|
|[vs_F, sa_UNKNOWN]                                           |1797254|
|[ss_F]                                                       |621334 |
|[vr_BLACK]                                                   |1652926|
|[vr_BLACK, vs_F]                                             |1001532|
|[vr_BLACK, vs_F, sa_UNKNOWN]                                 |617453 |
|[vr_BLACK, va_25-44]                                         |756119 |
|[vr_BLACK, vs_M]                                             |651394 |
|[vr_BLACK, vs_M, sa_UNKNOWN]                                 |510027 |
|[vr_BLACK, sr_UNKNOWN]                                       |816194 |
|[vr_BLACK, sr_UNKNOWN, sa_UNKNOWN]                           |795693 |
|[vr_BLACK, ss_U]                                             |759943 |
|[vr_BLACK, ss_U, sr_UNKNOWN]                                 |738601 |
|[vr_BLACK, ss_U, sr_UNKNOWN, sa_UNKNOWN]                     |737647 |
|[vr_BLACK, ss_U, sa_UNKNOWN]                                 |753868 |
|[vr_BLACK, ss_M]                                             |625428 |
|[vr_BLACK, sa_UNKNOWN]                                       |1127480|
|[va_45-64]                                                   |1183333|
|[va_45-64, vs_F]                                             |572124 |
